EC1 chunks,EC1 frequency,EC2 chunks,EC2 frequency,EC3 chunks,EC3 frequency,EC4 chunks,EC4 frequency,EC5 chunks,EC5 frequency,PC1 chunks,PC1 frequency,PC2 chunks,PC2 frequency
machine translation metrics,3,domain-specific knowledge,3,corpora,3,the results,3,evaluation,3,acquire,3,address,4
an algorithm,3,the degree,3,hate speech,3,the stability,3,overall performance,3,ec1 to learn,3,resolving,3
a bert-based model,3,cognates,3,idioms,3,their ability,3,social media text,3,improved to generate,3,rely on,3
the,3,attention mechanism,3,dependency parsing,3,bleu scores,3,users,3,understanding,3,improved to achieve,3
data,3,images,3,neural networks,3,information,3,50%,3,utilized to improve,3,evaluated on,3
a neural network,3,the sentiment,3,traditional methods,3,embeddings,3,nmt systems,3,used to analyze,3,generated by,3
multilingual transformer-based models,2,french conversations,2,poetry,3,domains,3,comprehension,3,reading,3,minimizing,3
bleu scores,2,bilingual models,2,word meanings,3,tools,3,the incorporation,3,reveal,3,adapting to,3
a large-scale dataset,2,typological features,2,domains,3,a more comprehensive understanding,3,the key features,3,recognizing,3,leverage,3
do linguistic features,2,lemmatization accuracy,2,end,3,dialogue systems,3,f1 score,3,ensure,3,compare,3
morphological analysis,2,human judgements,2,roberta,3,a machine learning model,3,coherence,3,used as,3,to estimate,3
learning,2,recall,2,news translation systems,2,the optimal approach,3,translation,3,map,3,reveal,3
dentra,2,the baseline system,2,speech recognition accuracy,2,topic modeling,3,a specific domain,3,adapted,3,reading,3
grammatical profiling,2,a more accurate evaluation,2,language families,2,a large number,3,the complex relationships,3,improved by,3,addressing,3
these models,2,visual features,2,user satisfaction,2,a model,3,annotations,3,ec1 of,3,set for,3
knowledge distillation,2,syntactic information,2,multilingual machine translation models,2,limited training data,3,language resources,3,classifying,3,leading to,3
the proposed architecture,2,persian text,2,under-resourced languages,2,the generalization,3,the key challenges,3,increasing,3,created using,3
contextual information,2,sedar,2,the mixmt system,2,processing time,3,data augmentation,3,adapting,3,to create,3
dynamic subnetworks,2,lstm hybrid neural network,2,recurrent neural networks,2,variations,3,better results,3,learned,3,n ec1 wi,3
slide,2,propositional idea density,2,neural language models,2,training,3,text data,3,aligning,3,to handle,3
deep learning,2,neural machine translation models,2,the lack,2,comparable results,3,these models,3,answering,3,features,3
the proposed deep transformer architecture,2,comment-level data,2,strong baselines,2,text classification tasks,3,the choice,3,correlated with,3,tuned on,3
a deep cnn,2,latent variables,2,metrics,2,questions,3,reusability,3,linking,3,evidenced by,3
sub-word embeddings,2,the glancing transformer,2,the comparability,2,evaluation metrics,3,machine learning algorithms,3,evaluated by,3,enhancing,3
the bleu score,2,the yoruba language,2,similar or better performance,2,natural language processing,3,the training process,3,predicted using,3,combine,3
the proposed log-linear model,2,accessibility,2,translation performance,2,machine learning algorithms,3,these techniques,3,containing,3,to recognize,3
can neural language models,2,a proxy,2,the task,2,neural machine translation systems,3,the nuances,3,generalized to handle,3,interpret,3
bilingual translation systems,2,proposition-level alignment,2,multilingual translation systems,2,the system,3,training data,3,to analyze,3,to assess,3
the annotation guidelines,2,child-directed speech,2,a small dataset,2,speed,3,the improvement,3,pretraining,3,aligned,3
the proposed machine translation systems,2,a more accurate representation,2,morphological analysis,2,the translation quality,3,specific metrics,3,to evaluate,3,to accommodate,3
the availability,2,text data,2,existing methods,2,implications,3,evaluation metric,3,used to extract,3,included in,3
readability features,2,distant supervision,2,rnn language models,2,translation,3,news articles,3,compare in,3,comparing,3
context-dependent word embeddings,2,revisions,2,the training,2,semantic similarity,3,the detection,3,adapted to handle,3,indicated by,3
regime-specific surprisal estimates,2,linguistic knowledge,2,the results,2,classification,3,natural language understanding,3,trained to detect,3,used to measure,3
the factored transformer architecture,2,sense induction,2,false information,2,high inter-annotator agreement,3,similarity,3,used to model,3,used to enhance,3
the bleu scores,2,social networks,2,the classification,2,the computational resources,3,multiple languages,3,used to mitigate,3,measured in,3
pre,2,the facilitatory effect,2,sentiment analysis tasks,2,deep learning models,3,a high degree,3,generate,3,involving,3
the performance differences,2,named entity recognition models,2,quality estimation,2,patterns,3,text classification tasks,3,produce,3,encoding,3
frequency-aware sparse coding,2,morphological features,2,comparable corpora,2,varying levels,3,a high level,3,prompting,3,to reduce,3
the proposed algorithms,2,a dependency parser,2,phonemes,2,nlp models,3,the characteristics,3,ec1 incorporating,3,require,3
a nondeterministic stack rnn,2,the mbart model,2,the training data,2,russian,3,gender,3,designing,3,e improved,3
the proposed neural network architecture,2,data selection,2,a multilingual model,2,both directions,2,relatedness,3,to leverage,3,contributing to,3
a framework,2,large volumes,2,documents,2,traditional approaches,2,sentiment,3,modeling,3,representing,3
the proposed model's use,2,the dynamics,2,word representation models,2,less-resourced languages,2,consistency,3,trained to predict,3,enabling,3
the gpt-4 model,2,kernel canonical correlation analysis,2,correct image context,2,summaries,2,cqa forums,2,preprocessing,3,required,3
the odil,2,the bleu scores,2,the proposed system,2,noisy data,2,the conll 2017 ud shared task,2,integrate,3,annotate,3
the approach,2,translation quality,2,biomedical translation tasks,2,human evaluation,2,benchmark datasets,2,annotate,3,required for,3
iarsum,2,the interpretation,2,human judgements,2,hinglish,2,translation quality estimation,2,constructing,3,developed to improve,3
different evaluation metrics,2,wikibank,2,natural language processing models,2,audience reaction,2,under-resourced languages,2,use,3,evaluated in,3
data filtering,2,domain knowledge,2,limited training data,2,a neural maximum subgraph parser,2,entity disambiguation tasks,2,sequence,3,captures,3
the proposed application,2,the acqdiv corpus database,2,wmt20,2,children's movies,2,non-native speakers,2,perform,3,train,3
rtms,2,correlation,2,language model,2,this task,2,russian language,2,analyzing,3,used to classify,3
a context-aware neural machine translation model,2,the strengths,2,interactive agents,2,neural machine translation,2,the data,2,to predict,3,mitigate,3
the proposed ensemble model,2,the learning,2,the relationship,2,chat translation tasks,2,manual annotation,2,generative,3,parse,3
the adaptation,2,the dataset,2,real-time,2,language pairs,2,bleu scores,2,crowdsourced,3,algorithms,3
the model's ability,2,machine learning techniques,2,tweets,2,romance languages,2,news translation tasks,2,address,3,used as,2
human evaluations,2,ensemble learning,2,the potsdam commentary corpus,2,fake reviews detection,2,financial texts,2,recognize,3,1 trained,2
the potential impact,2,data augmentation methods,2,named entities recognition,2,the system's performance,2,terminology insertion,2,masked,3,oes ec1,2
a hybrid model,2,the fluency,2,supervised classification models,2,generative dialogue models,2,different languages,2,correlate with,2,used to analyze,2
bottleneck adapter layers,2,the distribution,2,baseline models,2,the difficulty,2,monolingual models,2,learned by,2,retrieving,2
a lexicon-based approach,2,nlp,2,parallel computation,2,robustness,2,information,2,perform on,2,use,2
data augmentation methods,2,conditional random fields,2,the behavior,2,sequential information,2,units,2,optimized to achieve,2,ec2 base,2
a knowledge-based approach,2,synthetic data,2,resources,2,the overall quality,2,language pairs,2,used in,2,refine,2
accuracy,2,learnable source factors,2,backtranslation,2,neural parsers,2,co,2,adapted to improve,2,apply,2
the proposed pipeline,2,model,2,word sense disambiguation tasks,2,semantic relation extraction,2,news translation,2,used to annotate,2,facilitating,2
the xlm-roberta model,2,lstm,2,word representation learning,2,semantics,2,word sense disambiguation,2,ec1 between,2,support,2
the complexity,2,the integration,2,the key factors,2,yisi-1 and human translation quality judgment,2,quality estimation,2,assessing,2,relying solely on,2
the proposed transformer-based architecture,2,dependency parsers,2,neural parsers,2,the training data,2,the target language,2,ensembling,2,to analyze,2
a recurrent neural network,2,the system's performance,2,endangered languages,2,the lack,2,real-time,2,selecting,2,determining,2
a multilingual translation model,2,laughter,2,reasoning,2,their accuracy,2,image sequences,2,to capture,2,ec1 use,2
the training,2,embeddings,2,morphologically rich languages,2,language comprehension,2,natural language text,2,developed for,2,utilizes,2
multilingual training,2,character-level representations,2,transformers,2,competitive performance,2,the dataset,2,used by,2,es ec1,2
residual adapters,2,lexicon-free annotation,2,the graph-based parser,2,traditional rule-based methods,2,reference data,2,offer,2,can ec1 tr,2
a feature-based approach,2,deep learning,2,translation accuracy,2,hit-scir,2,the classification,2,developed to support,2,used for,2
dynamic fusion models,2,the attention mechanism,2,large volumes,2,word sense disambiguation tasks,2,malayalam language inference tasks,2,disambiguating,2,proposed,2
cross-lingual word embeddings,2,globalphone data,2,news translation tasks,2,user satisfaction,2,literary texts,2,cleaning,2,tively integrat,2
the focus,2,distribution,2,multilingual corpora,2,depression classification models,2,both directions,2,applied to support,2,improve with,2
the sd-crp algorithms,2,the emergence,2,child-directed input,2,a parser,2,multiword expressions,2,model,2,ec1 be app,2
access model,2,jparacrawl,2,target words,2,the accessibility,2,interpretability,2,trained to learn,2,to distinguish between,2
curriculum,2,direct assessment,2,t5,2,the interoperability,2,treebanks,2,represent,2,assign,2
local pruning,2,errors,2,bulgarian language tasks,2,user engagement,2,the ranking,2,quantified,2,handling out,2
the proposed semi-automatic methodology,2,hate speech,2,deterministic rules,2,distribution,2,the expected impact,2,exhibit,2,spoken,2
multilingual neural language models,2,the proposed approach,2,self-attention mechanism,2,graphs,2,embedding model,2,evaluated for,2,test,2
a multilingual coreference resolution model,2,a transition-based algorithm,2,document classification,2,non-english languages,2,the robustness,2,grounding,2,labeling,2
position-based attention,2,mwes,2,the training process,2,code-mixed text,2,unseen languages,2,dealing with,2,scoring,2
tasks,2,tokenization,2,non-autoregressive neural machine translation models,2,the russian-to-chinese task,2,masked language modeling,2,multimodal,2,aligned with,2
the inherent dependency displacement distribution,2,additional data,2,transition-based parsers,2,brazilian portuguese,2,a focus,2,inform,2,replicated,2
seq2seq models,2,object affordances,2,transformer models,2,chinese text,2,multiple domains,2,ec1 trained using,2,improved to reduce,2
the proposed relation module,2,open-domain and biomedical domain data,2,social media posts,2,the evolution,2,the proposed method,2,developed to convert,2,tied to,2
a bert-based stance classifier,2,iterative back-translation,2,mention detection,2,humans,2,the current state,2,adjusting,2,transcribe,2
data selection,2,portuguese,2,their elements,2,different domains,2,children,2,shared,2,used to estimate,2
a synthetic corpus,2,character embeddings,2,semantic roles,2,rare words,2,automatic speech recognition,2,to recognize,2,to address,2
the gdpr,2,luxembourgish news article comments,2,visual information,2,a machine translation system,2,the amount,2,trained to identify,2,to ensure,2
pnns,2,humans,2,topics,2,quality estimation models,2,the increase,2,required for,2,optimized through,2
classifiers,2,the open multilingual wordnet,2,word-level auto-completion systems,2,the time,2,fairness,2,to train,2,align,2
a corpus,2,urban dictionary,2,part,2,real-time applications,2,bleu score improvement,2,building,2,to increase,2
a hierarchical topic modeling approach,2,a concept,2,techniques,2,other approaches,2,german-upper sorbian,2,perform in,2,differ from,2
this method,2,stress,2,the coherence,2,relation extraction models,2,the overall quality,2,derived from,2,to monitor,2
mirrorwic,2,chatgpt,2,the data,2,90%,2,multilingual settings,2,leverages,2,to establish,2
the ability,2,simpler pre-trained models,2,cpu,2,the improvement,2,the mariannmt toolkit,2,have on,2,accounting for,2
nea,2,the processing,2,verbs,2,czech,2,user engagement,2,optimized using,2,represent,2
a multilingual model,2,linguistic properties,2,thousands,2,multiple language pairs,2,the fine-tuning phase,2,compared using,2,to generalize,2
human judgments,2,the romanian language,2,the intelligibility,2,this improvement,2,reliability,2,improved to reduce,2,c2 used,2
lda,2,multilingual datasets,2,additional features,2,parameters,2,noise,2,following,2,dealing with,2
machine learning,2,toxic comments,2,queries,2,sentiment,2,baseline models,2,to assess,2,injecting,2
comboner,2,deep learning techniques,2,compositionality,2,these factors,2,automatic metrics,2,priming,2,developed,2
the proposed joint learning method,2,other nlp tasks,2,re,2,latency,2,the potential challenges,2,pruning,2,tuned with,2
tupa,2,biased sentences,2,significant modifications,2,large amounts,2,the baseline system,2,extended to handle,2,ec2 derived,2
a transformer architecture,2,different languages,2,zero pronouns,2,the computational complexity,2,the key characteristics,2,generated using,2,enables,2
the system,2,competitive performance,2,the turkic language family,2,lstms,2,improvement,2,distinguish,2,spotting,2
the pretraining,2,embedding model,2,harmonized annotations,2,the niutrans system,2,transformer models,2,maintain,2,achieved by,2
treeswap,2,a system,2,a transition-based parser,2,translation suggestion systems,2,these representations,2,to identify,2,mine,2
a bert model,2,big five personality information,2,downstream applications,2,universal dependencies,2,pre-trained models,2,ec1 to identify,2,estimate,2
ensemble methods,2,transformer architecture,2,impact,2,ofrlex,2,pre-trained transformer models,2,tuned on,2,differ between,2
lit methods,2,bleu,2,grammatical errors,2,past years' wmt competitions,2,machine learning techniques,2,used to assess,2,integrating,2
deep learning algorithms,2,discourse relations,2,a set,2,word similarity,2,multilingual text,2,implemented using,2,generalize,2
semi-supervised learning,2,user satisfaction,2,model,2,the extraction,2,limited resources,2,ensuring,2,assessed using,2
continuous rating,2,pre-trained models,2,forward-translation techniques,2,human judgments,2,the learning,2,identified,2,trained using,2
a computational model,2,syntactic inductive bias,2,parsing models,2,the expected benefits,2,rules,2,used to augment,2,embedding,2
multilingual bert,2,figurative language indicators,2,in-the-wild sentences,2,computational methods,2,spatial relations,2,masking,2,to evaluate,2
detection models,2,a high accuracy,2,human-robot interactions,2,ptg,2,french corpora,2,used to classify,2,preserving,2
transfer learning,2,stories,2,wikidata,2,training data,2,bert,2,convey,2,benchmarks,2
our proposed method,2,mandarin chinese,2,tag,2,annotation projection,2,sentence meaning,2,measuring,2,quantified using,2
lstm,2,translation accuracy,2,grammatical error correction systems,2,the usability,2,these changes,2,exist,2,mitigated,2
can the co,2,participants,2,elmo,2,information retrieval,2,the spanish-portuguese language pair,2,influencing,2,architectures,2
nmt systems,2,topics,2,llms,2,their equivalents,2,nlp applications,2,ec1 to extract,2,improved to enhance,2
coreference resolution,2,pre-trained word embeddings,2,small-scale language models,2,the inter-annotator agreement,2,repair manuals,2,to ec8,2,to represent,2
a significant reduction,2,other domains,2,action detection,2,the performance metrics,2,the english,2,inspired by,2,surpass,2
reinforcement learning,2,the identification,2,translation memory systems,2,wikipedia,2,natural language,2,edge,2,minimize,2
humans,2,dag automata,2,the bleu score,2,flair,2,combination,2,representing,2,have for,2
neural language models,2,emotions,2,errors,2,czech language tasks,2,high precision,2,mitigated,2,segmenting,2
a rule-based approach,2,diverse data sources,2,rule-based approaches,2,similar language translation systems,2,a multilingual model,2,help,2,supertagging,2
a transformer-based language model,2,traditional machine learning methods,2,information extraction,2,the conll 2018 shared task,2,social media,2,targeting,2,distinguish between,2
the proposed neural semantic parser,2,nmt systems,2,subjectivity,2,model performance,2,native script,2,designed using,2,to automate,2
a rule-based algorithm,2,multiple languages,2,domain-specific terminologies,2,uncertainty,2,specific features,2,related to,2,produce,2
