EC1 chunks,EC1 frequency,EC2 chunks,EC2 frequency,EC3 chunks,EC3 frequency,EC4 chunks,EC4 frequency,EC5 chunks,EC5 frequency,PC1 chunks,PC1 frequency,PC2 chunks,PC2 frequency
the extent,4,the annotation process,3,the generation,3,natural language processing tasks,3,german,3,measured by,6,produced by,4
the translation,4,time,3,account,3,topics,3,the alignment,3,outperform,6,contributing to,4
comparison,4,changes,3,diversity,3,machine translation models,3,the language,3,used to identify,6,representing,4
way,4,relation extraction,3,dialogue acts,3,wmt,3,social media platforms,3,to ensure,6,provided,4
neural models,4,nmt models,3,downstream applications,3,high accuracy,3,african languages,3,to enhance,6,evaluated on,4
the number,4,answers,3,other systems,3,readability,3,implications,3,linking,6,outperform,4
transfer,4,bpe,3,sentiment analysis,3,bangla,3,different language pairs,3,measured,6,facilitating,4
information,4,the syntactic correctness,3,lms,3,the current state,3,xlm-r,3,to develop,6,comparing,4
a multi-task learning approach,4,transformers,3,a language model,3,nmt systems,3,gender,3,employed,6,proposed,4
text,4,fine-tuning,3,translation quality,3,effectiveness,3,annotated corpora,3,collecting,6,lead to,4
language models,4,quality,3,the annotation,3,african languages,3,machine learning models,3,address,6,reveal,4
role,3,a neural machine translation,3,deep learning,3,competitive performance,3,the efficiency,3,comparing,6,derived from,4
the processing time,3,information extraction,3,other models,3,the purpose,3,pre-trained language models,3,constructing,6,provided by,4
specific factors,3,coherence,3,vocabulary,3,semantic similarity,3,parameters,3,preserving,6,contexts,4
a supervised learning model,3,the consistency,3,pretrained language models,3,features,3,neural machine translation models,3,processing,6,tively incorporat,4
the most effective method,3,sentence length,3,wolof,3,emotion,3,norwegian,3,optimize,6,grained,4
the stability,3,it,3,the challenge,3,natural language,3,a combination,3,adding,6,parsing,4
the proposed measure,3,an attention mechanism,3,changes,3,the number,3,information technology,3,reading,5,set,4
the performances,3,vectors,3,length,3,the transformer model,3,lemmatization,3,used for,5,represent,4
the analysis,3,a computational model,3,terminology constraints,3,chinese,3,the evaluation,3,contributed to,5,minimizing,4
the role,3,the inclusion,3,different language pairs,3,the coverage,3,multilingual translation systems,3,trained with,5,tuned with,4
properties,3,verbs,3,the prediction,3,a dataset,3,conditions,3,explaining,5,used to measure,4
the behavior,3,the proposed model,3,concepts,3,datasets,3,these models,3,focusing on,5,measured,4
the annotation scheme,3,word sense disambiguation,3,(nmt) system,3,the legal domain,3,the training,3,demonstrated in,5,detect,4
the specific factors,3,ner,3,parallel data,3,training data,3,swedish,3,ensembling,5,converting,4
the generalizability,3,constraints,3,news,3,the medical domain,3,patterns,3,tuning,5,perform in,4
the bleu score,3,techniques,3,translation performance,3,computer science,3,role,3,observed in,5,mitigate,4
the improvements,3,vlms,3,knowledge distillation,3,embeddings,3,effectiveness,3,identified,5,as demonstrated,4
a transformer-based architecture,3,the representation,3,a corpus,3,the identification,3,arabic,3,implementing,5,reading,4
the coverage,3,word2vec,3,annotations,3,their ability,3,utterances,3,representing,5,uses,4
a significant difference,3,sentiment analysis,3,resources,3,gender,3,nli,3,compare in,5,have for,4
the multimodal corpus,3,tweets,3,shared task,3,documents,3,the english,3,optimizing,5,generate,4
the performance metrics,3,the impact,3,elmo,3,machine translation tasks,3,model performance,3,increasing,5,includes,4
the proposed dataset,3,annotation projection,3,different languages,3,implications,3,coreference resolution,3,understanding,5,integrating,4
the optimal number,3,the language,3,the coherence,3,examples,3,neural machine translation systems,3,generated by,5,evidenced by,3
best practices,3,the ability,3,neural machine translation systems,3,mt,3,chinese,3,correcting,5,estimate,3
different types,3,annotation,3,compare,3,existing models,3,robustness,3,disambiguating,5,proposed in,3
the similarity,3,translations,3,images,3,the challenge,3,the fluency,3,distinguishing,5,s ec1 perf,3
the proposed neural model,3,subjectivity,3,bulgarian,3,the english-german language pair,3,a system,3,to ec7,5,to handle,3
rules,3,a corpus,3,spanish,3,pretrained language models,3,this performance,3,pairs,5,recognize,3
the specific improvements,3,the training data,3,reliability,3,precision,3,the implications,3,used to determine,5,supporting,3
the creation,3,objects,3,quality estimation,3,humans,3,shared task,3,sequence,5,to outperform,3
data augmentation methods,3,the design,3,high accuracy,3,supervised neural machine translation systems,3,different types,3,performing,5,consisting of,3
bert-based models,3,parallel data,3,attention,3,the process,3,the translation,3,set,5,preserve,3
the key differences,3,entity,3,pairs,3,the detection,3,editing,3,uses,5,1 were empl,3
bt,3,noun phrases,3,strong baselines,3,synthetic data,3,czech,3,combines,5,shown by,3
neural network models,3,data augmentation,3,translation tasks,3,neural models,3,errors,3,to generate,5,assess,3
can large language models,3,the training process,2,language,3,usefulness,3,marathi,3,utilizes,5,1 be improv,3
a convolutional neural network,3,multilingual language models,2,different types,3,class labels,3,nmt,3,includes,5,es ec1,3
various methods,3,human scores,2,relations,3,tokenization,3,transfer learning,3,use,4,to perform,3
the bert model,3,difficulty,2,various languages,3,sequence,3,entities,3,acquiring,4,grounding,3
knowledge distillation,3,a large translation memory,2,them,3,multilingual bert,3,sentiment,3,design,4,adapting,3
udpipe,3,explanations,2,back translation,3,improvements,3,the challenges,3,used to predict,4,designed for,3
multilingual models,3,the one,2,utterances,3,(ccg,3,event detection,3,obtained from,4,ec1 base,3
the proposed annotation scheme,3,sentence-level translation models,2,reasoning,3,ensemble knowledge distillation,3,the model,3,developed for,4,aligning,3
data filtering,3,computational resource grammars,2,tokenization,3,(mt) systems,3,sinhala,3,utilized to identify,4,evaluated,3
relevance,3,selective fine-tuning,2,document-level novelty detection,2,speed,3,ner,3,achieved,4,encoding,3
sentences,3,fasttext word embeddings,2,high-performance neural translationese classifiers,2,the generative pre-trained transformer,2,openai gpt,2,graph,4,collecting,3
a multilingual model,3,seq2seq models,2,abusive language,2,concepts,2,live sport commentaries,2,adapt,4,to train,3
the optimal size,3,users' perception,2,thousands,2,the wmt20 news translation task,2,manual annotation,2,influence,4,generated from,3
models,3,the stability,2,romanian social media posts,2,target languages,2,online news and media content,2,vary across,4,can ec1,3
neural machine translation,3,other models,2,different domains,2,cross-domain texts,2,a wide range,2,exploiting,4,classify,3
the ability,3,improved translation quality,2,cross-lingual transfer,2,lucene,2,the babyllama model,2,finding,4,reflect,3
data augmentation strategies,3,german tweets,2,a large corpus,2,different datasets,2,human behavior,2,expanding,4,differ between,3
data selection,3,humans,2,the consistency,2,multilingual settings,2,the overall performance,2,used to learn,4,to ec7,3
context,3,the trade-off,2,the analysis,2,filler-gap dependencies,2,depression classification,2,addressed to improve,4,obtaining,3
words,3,sentence embeddings,2,hungarian propaganda discourse,2,intractable f-structures,2,alignment,2,simplifying,4,mitigating,3
the optimal techniques,2,gender biases,2,runyankore and rukiga languages,2,irony detection,2,news articles,2,determine,4,measuring,3
the inter-annotator agreement,2,initialization,2,claim verification,2,transformer-based architectures,2,parsing and machine translation,2,contributing to,4,addressed to improve,3
readability features,2,the newly developed german federal court decisions,2,various language pairs,2,the translation accuracy,2,the wmt 2022 shared task,2,varying,4,to create,3
potential,2,the significant improvement,2,an unsupervised manner,2,gpt-2,2,reference translations,2,used to develop,4,improved using,3
the optimal strategy,2,latent variables,2,dependency parsing,2,existing datasets,2,sentiment analysis,2,influencing,4,finding,3
the consistency,2,testing,2,treebank annotation,2,conversational dialog systems,2,the creation,2,developed to improve,4,algorithms,3
user satisfaction,2,label,2,relevancy,2,transformer language models,2,the generalizability,2,determining,4,reconstructing,3
the feasible and measurable improvements,2,multiword expressions,2,semantic representations,2,deception techniques,2,representations,2,utilized,4,leveraging,3
potential improvements,2,the categorization,2,political figures,2,morphologically rich languages,2,downstream tasks,2,making,4,support,3
the lexical complexity,2,context information,2,comparison,2,f1-score,2,quality estimation,2,used in,4,defining,3
the performance improvements,2,statistical models,2,the wmt shared task,2,studies,2,the similar language translation,2,improved to achieve,4,explaining,3
the proposed multimodal and multitask transformer model,2,competitive results,2,high performance,2,efficiency,2,language learning,2,estimating,4,differ in,3
language style,2,the proposed annotated dataset,2,multilingual models,2,lms,2,traditional baselines,2,evaluated on,4,utilized for,3
residual adapters,2,patterns,2,the emotional expressiveness,2,access,2,semantic information,2,analyze,4,improves,3
the perin model,2,the f1 scores,2,grounded language learning models,2,clustering,2,mwes,2,describing,4,distinguish,3
the baseline results,2,human evaluations,2,the control,2,serialization,2,the ner task,2,assigning,4,recognizing,3
a neural network architecture,2,the translation accuracy,2,a machine translation model,2,online forum posts,2,the study,2,resolving,4,utilized in,3
the self-ensemble filtering mechanism,2,universal dependencies,2,immigration,2,recent natural language representations,2,automatic text simplification,2,leveraging,4,transferring,3
the representation,2,datasets,2,resolution,2,multilingual neural machine translation systems,2,training data,2,preprocessing,4,decoding,3
behavior,2,a reconstruction component,2,neural language models,2,understanding,2,a machine translation system,2,evaluate,4,optimized to achieve,3
the presence,2,a system,2,small-scale language models,2,the perception,2,events,2,recall,4,oes ec1,3
the expansion approach,2,a recurrent neural network,2,the introduced corpus,2,mt models,2,domain adaptation,2,initializing,4,utilized to enhance,3
the difficulty,2,procedures,2,cross-lingual transfer learning,2,gricean data,2,large corpora,2,matching,4,captures,3
adversarial training,2,benefits,2,neural machine translation (nmt) systems,2,multi-word expressions,2,neologisms,2,represent,4,demonstrate,3
influence functions,2,multiple languages,2,a pre-trained language model,2,events,2,multilingual parsing,2,pretrained,4,addressed in,3
the edges diachronic bible corpus,2,entity spaces,2,a model,2,french tweets,2,bleurt,2,analyzed,4,vary across,3
causal knowledge,2,translation,2,other languages,2,the lack,2,the dataset,2,measure,3,creating,3
additional training data,2,training data,2,similarity,2,new words,2,mandarin chinese,2,derived from,3,be improved,3
settings,2,systems,2,hallucination,2,organization,2,gender systems,2,utilized to analyze,3,to represent,3
does the re,2,the similarity,2,the understanding,2,questions,2,non-native english speakers' revisions,2,improved to ensure,3,written,3
contrastive test suites,2,semantic tags,2,textual descriptions,2,the robustness,2,computational models,2,adapted for,3,making,3
the optimal tokenization scheme,2,grammatical gender assignment,2,simple subgraphs,2,afips constituent societies,2,overall performance,2,differ between,3,applying,3
the unique challenges,2,the financial domain,2,user satisfaction,2,the conll 2018 shared task,2,a multimodal corpus,2,presented,3,correlate with,3
annotations,2,bert-based models,2,an ontology,2,the multi-label classification scenario,2,existing corpora,2,lead to,3,annotated,3
an efficient algorithm,2,various types,2,the detection,2,performance improvements,2,medical texts,2,identified in,3,vary with,3
the key characteristics,2,word sequences,2,improved accuracy,2,pie,2,contrast,2,ec1 embedding,3,require,3
text classifiers,2,monolingual data,2,the monolingual and cross-lingual analogy tasks,2,the creation,2,the learnability,2,employed to improve,3,distinguishing,3
iterative backtranslation,2,the open multilingual wordnet,2,language modeling,2,patterns,2,bcp,2,used to create,3,expanding,3
gebiotoolkit,2,the occurrence,2,preservation,2,dependency parsing,2,f1 scores,2,quantified,3,tuning,3
the implications,2,the number,2,polish,2,phonemes,2,the effectiveness,2,labeling,3,estimating,3
a deep learning model,2,sentence,2,the classification,2,crf,2,the portuguese language,2,inferring,3,assigning,3
the discrepancy,2,variational autoencoders,2,the application,2,compatibility,2,the contribution,2,utilize,3,utilized,3
analysis,2,nmt systems,2,meaning,2,roberta,2,the legal domain,2,characterize,3,optimizing,3
the encoding,2,gulf arabic,2,multiple-property extraction,2,existing metrics,2,different domains,2,removing,3,utilized to develop,3
a transformer model,2,the challenges,2,convolutional neural networks,2,high bleu scores,2,low resource languages,2,to enable,3,automating,3
the evaluation,2,the application,2,named entities,2,generated text,2,the biology domain,2,used to train,3,incorporate,3
transformations,2,additional data,2,fake news detection,2,various language pairs,2,properties,2,automating,3,optimized,3
machine learning approaches,2,multilingual interactive agents,2,emails,2,code,2,noise,2,characterizing,3,fixing,3
performance metrics,2,human judgements,2,a potentially idiomatic expression,2,word2vec embeddings,2,low-resource language pairs,2,interpreting,3,to estimate,2
the annotated corpus,2,the scores,2,the domain,2,nmt models,2,emotion,2,masked,3,reports,2
bottleneck adapter layers,2,discourse relations,2,events,2,the 2024 babylm challenge,2,machine translation tasks,2,extract,3,designed to evaluate,2
a pre-trained bert model,2,probing classifiers,2,the predictions,2,relations,2,traditional methods,2,employed to address,3,es ec1 per,2
guidelines,2,the degree,2,the unsupervised cross-lingual word embeddings mapping method,2,complex sentences,2,skip-gram,2,discourse,3,pretraining,2
choices,2,different approaches,2,non-manual components,2,bilingual evaluation understudy,2,the ability,2,to identify,3,ulmfit in,2
the racai approach,2,"the ""voices",2,a system,2,dependency trees,2,rcs,2,used as,3,"c2, compare",2
an effective methodology,2,samples,2,unsupervised machine translation,2,comparable results,2,absorption,2,to use,3,achieved by,2
the guidelines,2,a modular lexical simplification architecture,2,different language families,2,coreference resolution,2,the current state,2,improved in,3,can ec,2
the level,2,filtering,2,a related language,2,a gradient boosting model,2,their impact,2,extend,3,analyze,2
sentence embeddings,2,news articles,2,the low resource language,2,the representation,2,nmt systems,2,produce,3,tested on,2
the identification,2,the size,2,bleu scores,2,the penn discourse treebank,2,the prediction,2,to support,3,be improve,2
the annotation guidelines,2,a supervised classification model,2,entity type sequences,2,language models,2,multilingual bert,2,pooling,3,encountered during,2
sequential features,2,linguistic knowledge,2,senses,2,the relationships,2,sign language,2,retrieving,3,ec1 contribu,2
does the introduction,2,emotion,2,medical-domain ner,2,transformer models,2,question,2,writing,3,optimized for,2
contextual information,2,lexicons,2,the baseline,2,the model's performance,2,automatic post editing tasks,2,recovering,3,relying on,2
automatically-generated questions,2,the causal effect,2,language acquisition,2,aspects,2,english machine translation,2,validating,3,does e,2
the proposed statistical model,2,human visual attention,2,gender,2,the construction,2,the corpus,2,inducing,3,used to evaluate,2
the contribution,2,evaluation metrics,2,the interpretation,2,the reduction,2,the shared task,2,presented in,3,inspired by,2
embeddings,2,instructional videos,2,multiple dictionaries,2,domains,2,digital humanities projects,2,integrate,3,ively integrate,2
membership query synthesis,2,the nuances,2,the proposed model,2,dictionaries,2,data augmentation,2,differ in,3,to label,2
machine learning algorithms,2,understanding,2,offensive language,2,the use,2,the english-german language pair,2,quantifying,3,addressed,2
criteria,2,bilingual lexicon induction,2,a range,2,agreement attraction,2,algorithm,2,text,3,introduced in,2
backtranslation,2,language data sharing,2,multiword terms,2,completeness,2,varying levels,2,train,3,extend,2
the neural semantic parser,2,social media,2,mandarin chinese,2,the conll 2017 shared task,2,the romanian language,2,constructed using,3,are ec1 contrib,2
word,2,cross-lingual embeddings,2,the wmt 2021 terminology shared task,2,different levels,2,interest,2,refining,3,ow can e,2
the intersection,2,sentiments,2,the style,2,machine reading comprehension,2,knowledge,2,exhibit,3,match,2
the sequence,2,the bleu score,2,distant supervision,2,machine learning,2,polish,2,incorporates,3,allowing,2
approaches,2,the etymology,2,automatic recognition,2,usability,2,users,2,to facilitate,3,to facilitate,2
linguistic features,2,their performance,2,"the great war"" corpus",2,semeval2018,2,predictions,2,reflect,3,obtained from,2
less,2,test sets,2,the proposed dataset,2,the preservation,2,abstract meaning representation,2,aggregating,3,involving,2
the mapping,2,small-scale language modeling tasks,2,question,2,extraction,2,natural language processing tasks,2,benchmarks,3,model,2
a parser network,2,recurrent neural networks,2,the learning,2,short texts,2,limitations,2,measured using,3,ow can ec,2
the training data size,2,sentence segmentation,2,usability,2,domain-specific corpora,2,vocabulary,2,expressing,3,analyzed using,2
language modeling,2,the level,2,semantic argument types,2,ud,2,word2vec,2,meaning,3,n ec1 f,2
annotation curricula,2,hinglish,2,quality,2,code-mixed hinglish,2,character,2,obtaining,3,"ec1, combine",2
the optimization,2,nouns,2,human evaluations,2,the absence,2,the utility,2,make,3,provided with,2
resources,2,the transformer-big model,2,the number,2,errors,2,technologies,2,evaluated,3,used to enhance,2
the scalability,2,tools,2,different aspects,2,a document,2,repeated processing tasks,2,combined with,3,interpret,2
a neural network,2,) algorithm,2,datasets,2,creative text types,2,nlu,2,switching,3,learned,2
gate dictlemmatizer,2,texts,2,the syntactic phenomenon,2,story generation,2,the computer science and information technology domain,2,algorithms,3,labeled,2
summaries,2,a transformer-based model,2,stance detection,2,aspect-based sentiment analysis,2,adults,2,mitigating,3,referring,2
contextual word embeddings,2,contact relatedness,2,neural attention,2,the portuguese language,2,bertscore,2,generated using,3,ec1 perfo,2
a visual distributional semantic model,2,language model,2,multiplicative-additive displacement calculus,2,a combination,2,these insights,2,aligned,3,oes ec,2
the output,2,structural modeling methods,2,the communist regime,2,analysis,2,novelty,2,introducing,3,generated by,2
the treeswap data augmentation method,2,automatic speech recognition (asr) models,2,support,2,da+sqm,2,speeches,2,annotated,3,validated using,2
cloze distillation,2,inference,2,model,2,knowledge,2,twitter,2,transfer,3,setting,2
the proposed joint state model,2,document-level neural machine translation,2,a comment moderation model,2,automatic translation,2,the inclusion,2,vary in,3,developed for,2
the distance,2,deletion,2,"filtering monolingual, parallel, and synthetic sentences",2,a deep learning framework,2,the need,2,mitigate,3,translate,2
the conversion,2,solutions,2,translation memory systems,2,the interpretability,2,the blimp,2,following,3,to construct,2
the annotation,2,cognates,2,verbs,2,hand-crafted features,2,system,2,to capture,3,of ec,2
a large filter size,2,fake news detection,2,the sentence level,2,the source,2,bleu score,2,denoising,3,leads to,2
a method,2,the model,2,ancient texts,2,co,2,polysynthetic languages,2,support,3,to spoken,2
the siamese network approach,2,the power,2,long-distance dependencies,2,natural language understanding,2,applicability,2,masking,2,features,2
evaluation,2,neural machine translation models,2,the wmt21 evaluation campaign,2,the johns hopkins university bible corpus,2,the removal,2,compute,2,rther improv,2
