templated_question,normalized_template,first_11_words,matched_train_template
"What is the impact of EC1 on the performance of EC2 in EC3, specifically in EC4?","What is the impact of EC on the performance of EC in EC, specifically in EC?",What is the impact of EC on the performance of EC,What is the impact of EC on the performance of EC in EC?
"How does the use of EC1 affect EC2 of EC3 in EC4, and what EC5 can be PC1 its EC6?","How does the use of EC affect EC of EC in EC, and what EC can be PC its EC?",How does the use of EC affect EC of EC in,"How does the use of EC affect EC of EC in EC, and what is EC of EC PC EC?"
"How can EC1 be PC1 PC2 accurately PC2 and PC3 EC2 of EC3 (EC4, EC5, and EC6) in EC7?","How can EC be PC PC accurately PC and PC EC of EC (EC, EC, and EC) in EC?",How can EC be PC PC accurately PC and PC EC,How can EC be PC PC accurately PC and PC EC that is specifically PC EC in EC?
What evaluation metrics can be PC1 EC1 of EC2 that PC2 its EC3 with EC4 of EC5 in EC6?,What evaluation metrics can be PC EC of EC that PC its EC with EC of EC in EC?,What evaluation metrics can be PC EC of EC that PC,What evaluation metrics can be PC EC of EC that PC EC from EC for EC and EC?
"What is the impact of PC1 EC1 of EC2 on the performance of EC3 in EC4, EC5, and EC6 PC2 EC7?","What is the impact of PC EC of EC on the performance of EC in EC, EC, and EC PC EC?",What is the impact of PC EC of EC on the,What is the impact of PC EC of EC on the performance of EC for EC?
"How can the performance of EC1 be PC1 EC2 in EC3, considering its EC4 to state-of-EC5 systems?","How can the performance of EC be PC EC in EC, considering its EC to state-of-EC systems?","How can the performance of EC be PC EC in EC,","How can the performance of EC be PC EC in EC, particularly in EC?"
"What is the impact of EC1 on EC2 of EC3 for EC4, and how does it compare to EC5 of EC6 and EC7?","What is the impact of EC on EC of EC for EC, and how does it compare to EC of EC and EC?",What is the impact of EC on EC of EC for,What is the impact of EC on EC of EC for EC?
"What is the impact of PC1 EC1, EC2, EC3, and EC4 on the performance of EC5 for EC6, as PC2 EC7?","What is the impact of PC EC, EC, EC, and EC on the performance of EC for EC, as PC EC?","What is the impact of PC EC, EC, EC, and EC","What is the impact of PC EC, EC, EC, and EC on the performance of EC in EC?"
"What is the impact of EC1 on the performance of EC2 for EC3 and EC4, compared to EC5, as PC1 EC6?","What is the impact of EC on the performance of EC for EC and EC, compared to EC, as PC EC?",What is the impact of EC on the performance of EC,What is the impact of EC on the performance of EC in EC?
"What is the impact of EC1 on the performance of EC2, given its EC3, EC4, and part-of-EC5 tagging?","What is the impact of EC on the performance of EC, given its EC, EC, and part-of-EC tagging?","What is the impact of EC on the performance of EC,","What is the impact of EC on the performance of EC, and how can EC improve EC for EC?"
"How can the performance of EC1 be PC1 EC2 that PC2 EC3 and EC4, such that it PC3 EC5, PC4 EC6 for EC7?","How can the performance of EC be PC EC that PC EC and EC, such that it PC EC, PC EC for EC?",How can the performance of EC be PC EC that PC,How can the performance of EC be PC EC that PC EC into EC?
"What is the effectiveness of EC1, PC1 EC2 and EC3, in improving Automatic Post-Editing EC4) performance for EC5?","What is the effectiveness of EC, PC EC and EC, in improving Automatic Post-Editing EC) performance for EC?","What is the effectiveness of EC, PC EC and EC, in","What is the effectiveness of EC, PC EC and EC, in PC EC in EC, using EC?"
"What is the impact of EC1 on the performance of EC2 of EC3 (EC4) in EC5, compared to nonEC6, in EC7 of EC8 2024?","What is the impact of EC on the performance of EC of EC (EC) in EC, compared to nonEC6, in EC of EC 2024?",What is the impact of EC on the performance of EC,What is the impact of EC on the performance of EC in EC?
How does the use of EC1 for PC1 EC2 and EC3 in custom non-autoregressive sequence-to-EC4 models affect EC5 PC2 EC6 in EC7?,How does the use of EC for PC EC and EC in custom non-autoregressive sequence-to-EC models affect EC PC EC in EC?,How does the use of EC for PC EC and EC,How does the use of EC for PC EC and EC impact the performance of EC when PC EC and EC on EC PC entity corpus and EC?
"Can EC1 of EC2 PC1 EC3 between EC4 and EC5 in EC6, wPC3with EC7 from EC8, PC2 EC9 of EC10 and improve the accuracy of EC11?","Can EC of EC PC EC between EC and EC in EC, wPC3with EC from EC, PC EC of EC and improve the accuracy of EC?",Can EC of EC PC EC between EC and EC in,"Can EC of EC PC EC between EC and EC in EC improve EC PC EC of EC, and under what EC?"
"What is the impact of using EC1 on the performance of EC2 in EC3 for English-German, English-Spanish, and Japanese-Chinese language PC1?","What is the impact of using EC on the performance of EC in EC for English-German, English-Spanish, and Japanese-Chinese language PC?",What is the impact of using EC on the performance of,"What is the impact of using EC on the performance of EC, particularly in EC other than EC?"
